category,question,answer
AKUN,"Saya sudah melakukan pembayaran PayLater, mengapa saya tetap tidak bisa mengakses akun Allo Bank?","Tidak perlu khawatir, Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Email: allocare@allobank.com

Selanjutnya, setelah laporan sudah diterima akan dilakukan investigasi lebih lanjut."
AKUN,Mengapa akun Allo Bank saya diblokir?,"Proses pemblokiran dapat terjadi atas permintaan Nasabah, atas perintah Bank (security risk), atas perintah Instansi pemerintah yang berwenang, atau terjadi kesalahan oleh Nasabah dalam penggunaan Allo Apps (Contoh: kesalahan memasukkan PIN atau Password sampai batas maksimum yang telah ditentukan)."
AKUN,Bagaimana cara untuk memblokir atau membuka blokir akun Allo Bank saya?,"Anda dapat melakukan blokir atau membuka blokir akun Allo Bank dengan menghubungi Allo Care melalui:
Telepon: 080 4110 4110
Whatsapp: 0822 0822 4110 (Chat Only)
Email: allocare@allobank.com"
AKUN,Berapa lama proses membuka akun yang terblokir?,"Jika akun Anda terblokir karena Anda salah memasukkan password atau PIN sebanyak 5 kali, Anda bisa langsung melakukan reset password atau PIN di aplikasi Allo Bank. Jika Anda mengalami kendala lain, Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Whatsapp: 0822 0822 4110 (Chat Only)
Email: allocare@allobank.com

Selanjutnya, setelah laporan sudah diterima akan dilakukan investigasi lebih lanjut."
AKUN,Apakah ada biaya yang dikenakan untuk mengajukan permintaan pembukaan blokir akun?,Tidak ada biaya yang dikenakan dalam proses permintaan pembukaan blokir akun.
AKUN,Apakah saya bisa mengajukan pembukaan blokir akun lebih dari sekali?,"Tidak perlu khawatir, Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Whatsapp: 0822 0822 4110 (Chat Only)
Email: allocare@allobank.com

Selanjutnya, setelah laporan sudah diterima akan dilakukan investigasi lebih lanjut."
AKUN,Apakah ada syarat dan ketentuan untuk mengajukan pembukaan blokir akun?,"Tidak perlu khawatir, Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Whatsapp: 0822 0822 4110 (Chat Only)
Email: allocare@allobank.com

Selanjutnya, setelah laporan sudah diterima akan dilakukan investigasi lebih lanjut."
AKUN,Apa saja dokumen pendukung yang dibutuhkan untuk pembukaan blokir akun?,"Tidak perlu khawatir, Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Whatsapp: 0822 0822 4110 (Chat Only)
Email: allocare@allobank.com

Selanjutnya, setelah laporan sudah diterima akan dilakukan investigasi lebih lanjut."
AKUN,Bagaimana cara mengetahui bahwa akun Allo Bank saya telah diblokir?,"Jika akun Anda diblokir, Anda tidak dapat melakukan transaksi."
AKUN,"Saya mendapatkan notifikasi indikasi akun Allo Bank saya diambil alih oleh orang lain, bagaimana cara untuk menindaklanjutinya?","Apabila Anda mendapatkan notifikasi yang mengindikasikan akun Allo Bank Anda diambil oleh orang lain,Anda dapat mengikuti langkah berikut:
1. Anda dapat mencoba Login menggunakan nomor ponsel dan Password Anda
2. Jika Anda dapat masuk ke aplikasi Allo Bank, kami menyarankan untuk langsung mengubah Password dan PIN Anda.

Jika Anda menemui masalah dan tidak dapat login pada aplikasi Allo Bank, Anda dapat tekan tombol ""Lupa Password"".

Jika Anda masih tidak dapat login pada aplikasi Allo Bank, Anda dapat menghubungi Allo Care untuk melakukan blokir akun Allo Bank Anda sementara melalui:
Telepon: 080 4110 4110
Whatsapp: 0822 0822 4110 (Chat Only)
Email: allocare@allobank.com"
AKUN,"Saya mendapatkan notifikasi indikasi penipuan yang mengatasnamakan Allo Bank, bagaimana cara untuk menindaklanjutinya?","Allo Bank hanya akan menghubungi Anda melalui akun resmi dan terverifikasi.

Namun, jika Anda merasa dihubungi oleh orang yang mengatasnamakan Allo Bank, Anda dapat mengonfirmasi nomor tersebut kepada kami dengan menghubungi Allo Care melalui:
Telepon: 080 4110 4110
Whatsapp: 0822 0822 4110 (Chat Only)
Email: allocare@allobank.com

Mohon pastikan Anda tidak memberikan data informasi pribadi dan mengetuk link atau aplikasi yang dikirimkan untuk menghindari social engineering."
AKUN,Mengapa saya tidak mempunyai akun allo bank namun ada email masuk mengenai allo bank ?,"Hal tersebut mungkin terjadi karena email Anda terdaftar di merchant CT Corp lainnya sehingga Anda juga mendapat email promosi dari Allo Bank. Namun, untuk keamanan Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Whatsapp: 0822 0822 4110 (Chat Only)
Email: allocare@allobank.com

Selanjutnya, setelah laporan sudah diterima akan dilakukan investigasi lebih lanjut."
AKUN,Bagaimana cara saya menutup rekening Allo Prime?,"Nasabah dapat mengajukan penutupan rekening Allo Prime milik Nasabah dengan menghubungi Allo Care di 08041104110 atau media komunikasi resmi yang disediakan oleh Bank.
Dengan mengajukan permohonan penutupan akun, kamu telah membaca dan menyetujui Syarat dan Ketentuan dan Kebijakan Privasi"
PRODUK,Mengapa saya tidak bisa menggunakan Allo Pay saya?,Mungkin Kamu telah melebihi batas pembayaran per transaksi atau setiap hari
PRODUK,Mengapa saya tidak bisa menggunakan Allo Pay+ saya?,Mungkin Kamu telah melebihi batas pembayaran per transaksi atau setiap hari
PRODUK,Mengapa saya tidak bisa menggunakan Allo Prime saya?,Mungkin Kamu telah melebihi batas pembayaran per transaksi atau harian.
PRODUK,Mengapa saya tidak berhasil melakukan pembukaan Deposito?,"1. Kamu masuk dalam daftar hitam karena masalah terorisme / pencucian uang / PEP, dll
2. Kamu belum memenuhi kriteria anti-fraud
3. Terjadi permasalahan sinyal / koneksi perangkat Kamu"
LAYANAN,Apakah saya bisa melakukan Top Up di toko offline?,Nasabah dapat melakukan Top Up Allo Wallet melalui toko offline seperti gerai offline CT Corp serta toko lainnya yang memiliki kerja sama dengan Allo Bank
LAYANAN,Bagaimana cara saya melakukan Top Up di toko offline?,"1. Masuk ke Allo App
2. Pilih menu Top Up
3. Pilih Offline Stores
4. Pindai Barcode
5. Konfirmasi detail top up kamu
6. Input PIN
7. Jika transaksi berhasil, saldo kamu akan bertambah sesuai dengan nominal top up yang kamu pilih"
LAYANAN,Berapa lama sampai saya menerima Top Up?,"Waktu yang diperlukan untuk memperbarui saldo Allo Wallet yang baru di isi ulang berbeda tergantung pada koneksi internet dan masing-masing institusi keuangan yang melakukan pengiriman dana Top Up. Pada umumnya saldo akan otomatis bertambah setelah transaksi dinyatakan berhasil.
Apabila saldo Allo Wallet kamu masih belum juga bertambah, mohon hubungi contact center kami di 080 4110 4110."
LAYANAN,Apakah ada minimum nominal Top Up?,Minimum nominal Top Up yang dapat dilakukan melalui gerai offline oleh Nasabah adalah sebesar Rp 25.000.
LAYANAN,Berapa maksimal top up yang bisa dilakukan melalui toko offline non CT Corp?,Jumlah maksimum per transaksi adalah Rp1.000.000 dan Rp5.000.000 per hari
LAYANAN,Bagaimana jika saya ingin mengajukan pertanyaan atau keluhan seputar Top Up melalui Gerai Offline?,"Allo Bank memiliki beberapa saluran layanan yang bisa kamu gunakan untuk menyampaikan pertanyaan atau keluhan.

- Call Center
Hubungi kami melalui telepon di 080 4110 4110.
- WhatsApp
Hubungi kami melalui WhatsApp di 0822 0822 4110
- Email
Sampaikan pertanyaan atau detail keluhan kamu melalui email ke allocare@allobank.com"
LAYANAN,Berapa maksimal top up yang bisa dilakukan melalui toko offline CT Corp?,Jumlah maksimum per transaksi adalah Rp3.000.000 dan Rp5.000.000 per hari
LAYANAN,Berapa biaya yang dibebankan kepada Nasabah untuk melakukan Top Up melalui Gerai Offline?,"Biaya yang dibebankan tergantung kepada jenis gerai offline yang dipilih oleh Nasabah, yaitu:
- CT Corp: Rp0 (Tanpa biaya administrasi)
- Non CT Corp: Rp4.500/transaksi"
LAYANAN,Apa itu MPC Points?,MPC Points merupakan Loyalty Points yang akan diterima oleh Member yang dapat digunakan untuk melakukan transaksi di merchant dengan konversi 1 poin setara dengan 1 Rupiah
LAYANAN,Apa saja syarat untuk menggunakan MPC Points?,"Untuk bisa menggunakan MPC Points, Anda wajib memenuhi ketentuan sebagai berikut:
1. Perorangan (individu)
2. Minimal usia 17 tahun
3. Tinggal di Indonesia
4. Melakukan registrasi sesuai dengan ketentuan yang ditentukan"
LAYANAN,Bagaimana cara untuk mendapatkan MPC Points?,Anda bisa mendapatkan MPC Points setelah melakukan transaksi di merchant CT Corp dan merchant partners Allo Bank lainnya dengan menggunakan Allo Payment sebagai metode pembayaran
LAYANAN,Apa saja keuntungan menggunakan MPC Points?,"Anda dapat menikmati beragam keuntungan menggunakan MPC Points:
1. Satu login dan registrasi di salah satu ekosistem CT Corp secara langsung
2. Poin dan kupon untuk transaksi di semua aplikasi ekosistem CT Corp
3. Keuntungan dan berita eksklusif mengenai info promosi khusus untuk Member

Nasabah akan mendapatkan manfaat berupa MPC Points yang dapat digunakan Member untuk bertransaksi di merchant"
LAYANAN,Di mana saya bisa menggunakan MPC Points saya?,"Anda dapat menggunakan MPC Points untuk melakukan transaksi di merchant CT Corp seperti Transmart, Metro, The Coffe Bean & Tea Leaf, Baskin Robbins, dan Wendy's."
LAYANAN,Apakah MPC Points yang saya miliki akan hangus setelah akun Allo Bank saya ditutup?,"Tidak, jika Anda menutup akun Allo Bank Anda, MPC Points Anda tidak akan hangus."
LAYANAN,Apakah total akumulasi MPC points yang saya miliki pada status membership akan berkurang jika saya melakukan transaksi menggunakan MPC Points?,"Tidak, total akumulasi MPC Points Anda tidak akan berkurang."
LAYANAN,Apakah MPC Points dapat ditransfer ke Nasabah Allo Bank lainnya?,"Anda tidak bisa mengirimkan MPC Points kepada orang lain, baik sesama pemilik akun Allo Bank maupun pemilik akun bank lain."
LAYANAN,Apakah saya bisa menggunakan MPC Points yang dikombinasikan dengan penggunaan Saldo Allo ataupun limit Paylater yang saya miliki?,Anda dapat menggunakan MPC Points dikombinasikan dengan penggunaan Saldo Allo ataupun limit Paylater yang Anda miliki
LAYANAN,Berapa lama masa berlaku MPC Points saya?,Masa berlaku MPC Points adalah 60 bulan setelah diterbitkan.
LAYANAN,Mengapa MPC Points saya tidak dapat digunakan pada saat bertransaksi?,"MPC Points hanya bisa digunakan untuk transaki di merchant CT Corp. Jika Anda tidak dapat menggunakan MPC Points untuk transaksi di merchant CT Corp, Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Email: allocare@allobank.com"
LAYANAN,Berapa nilai konversi MPC Points saya?,"Setiap 1 MPC Points yang Anda kumpulkan bernilai sama dengan Rp1,-."
LAYANAN,Bagaimana cara menukarkan MPC Points saya?,Anda dapat menukarkan MPC Points dengan berbagai penawaran menarik yang ada di halaman Promo dalam aplikasi Allo Bank atau bertransaksi secara langsung di gerai merchant CT Corp.
LAYANAN,Mengapa saya tidak mendapatkan cashback MPC Points ketika saya sudah melakukan transaksi di outlet partner Allo Bank / mengundang teman saya menggunakan aplikasi Allo Bank?,"Jika Anda bertransaksi di outlet partner Allo Bank dan tidak mendapatkan MPC Points Cashback, hal ini mungkin terjadi karena program cashback telah selesai. Apabila Anda mengundang teman untuk menggunakan Allo Bank dan Anda tidak mendapatkan MPC Points Cashback, hal ini mungkin terjadi karena teman Anda sebelumnya sudah pernah mengunduh aplikasi Allo Bank. Jika bukan disebabkan oleh kedua hal tersebut, hal ini mungkin terjadi karena gangguan sistem.
Jika terjadi gangguan, Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Email: allocare@allobank.com"
LAYANAN,"Apabila saya bertransaksi menggunakan MPC Points, apakah saya akan mendapatkan MPC Points juga?",Apabila Anda melakukan transaksi menggunakan MPC Points maka Anda tidak akan mendapatkan MPC Points untuk transaksi tersebut.
LAYANAN,Bagaimana cara memeriksa saldo MPC Points saya?,Saldo MPC Points bisa Anda temukan di halaman Home dalam aplikasi Allo Bank.
LAYANAN,Mengapa total akumulasi MPC Points saya menjadi 0 dan/atau tingkatan Membership saya turun?,"Setiap tanggal 1 Januari, total akumulasi MPC Points Anda akan kembali menjadi 0 dan total akumulasi MPC Points Anda pada tahun tersebut akan menentukan tingakatan Membership Anda pada tahun berikutnya. Jika pada tanggal 31 Desember total akumulasi MPC Points Anda tidak memenuhi syarat untuk berada pada tingkatan Membership tertentu, tingkatan Membership Anda akan turun ke tingkatan Membership di bawahnya. Berikut adalah jumlah poin untuk 3 tingkatan Membership :
Starter: 0 - 1.999.999
Advanced: 2.000.000 - 4.999.999
Premium: >= 5.000.000"
LAYANAN,Apa itu Membership Allo Bank?,"Membership merupakan manfaat yang didapatkan oleh nasabah berupa keanggotaan yang terdiri dari 3 tingkatan (Starter, Advance & Premium) dan masing masing tingkatan akan memberikan manfaat berbeda terkait jumlah poin dan kupon yang akan di dapatkan oleh Member, berikut adalah jumlah poin untuk 3 tingkatan Membership :
Starter: 0 - 1.999.999
Advanced: 2.000.000 - 4.999.999
Premium: >= 5.000.000"
LAYANAN,Bagaimana cara meningkatkan status membership saya pada aplikasi Allo Bank?,"Anda dapat meningkatkan status membership dengan memenuhi persyaratan atau kondisi terkait akumulasi MPC Points yang harus Anda capai pada periode waktu tertentu. Untuk mengetahui MPC Points yang diperlukan untuk meningkatkan status membership, Anda dapat melihat halaman Profil pada bagian Status Membership Anda."
LAYANAN,Apa syarat agar saya dapat berada di status membership yang sama?,"Untuk bisa mempertahankan status membership Anda, Anda harus mencapai akumulasi MPC Points yang sudah ditentukan untuk setiap level status membership pada akhir periode yang akan jatuh pada 1 tahun setelah Anda menjadi mendaftar di aplikasi Allo Bank. Akumulasi MPC Points yang dibutuhkan untuk mempertahankan status membership Anda dapat dilihat pada halaman Profil pada bagian Status Membership Anda."
LAYANAN,Apa saja keuntungan mempertahankan/meningkatkan status membership saya?,"Anda dapat menikmati beragam keuntungan menggunakan MPC Points:
1. Satu login dan registrasi di salah satu ekosistem CT Corp secara langsung
2. Poin dan kupon untuk transaksi di semua aplikasi ekosistem CT Corp
3. Keuntungan dan berita eksklusif mengenai info promosi khusus untuk Member

Nasabah akan mendapatkan manfaat berupa MPC Points dan kupons yang dapat digunakan Member untuk bertransaksi di merchant"
LAYANAN,Apakah status membership menentukan jumlah MPC Points dan Kupon yang dapat saya miliki?,"Yap, status membership akan menentukan manfaat yang diterima oleh Anda terkait jumlah poin dan kupon yang akan didapatkan"
LAYANAN,Dimana saja saya dapat menggunakan membership Allo Bank?,Anda dapat menggunakan Allo Bank di merchant CT Corp di seluruh Indonesia
LAYANAN,Bagaimana cara meningkatkan status membership Allo Bank saya?,"Anda dapat meningkatkan status membership dengan memenuhi persyaratan ataupun ketentuan terkait jumlah akumulasi MPC Points yang harus dicapai oleh Member dalam periode tertentu. Untuk mengetahui jumlah MPC Points yang dibutuhkan untuk meningkatkan / upgrade membership status dapat dilihat pada halaman Profil di bagian yang menunjukan ""Status Membership Anda"""
LAYANAN,Apakah status membership Allo Bank saya dapat berubah?,Status membership Anda dapat berubah jika Anda tidak mencapai MPC Points yang dibutuhkan untuk mempertahankan status membership. Akumulasi MPC Points yang dibutuhkan untuk mempertahankan status membership Anda dapat dilihat di halaman Profil pada bagian Status Membership Anda
LAYANAN,Bagaimana cara menutup penggunaan membership pada aplikasi Allo Bank?,Membership Anda akan tetap aktif selama Anda masih memiliki akun Allo Bank. Membership Anda akan ditutup atau dihapus secara otomatis ketika Anda menutup akun Allo Bank.
LAYANAN,Apa arti Kupon pada aplikasi Allo Bank?,Coupons/Kupon adalah reward atau manfaat yang dapat dinikmati oleh Anda dalam bentuk potongan harga/discount yang dapat digunakan untuk bertransaksi di merchant.
LAYANAN,Apa manfaat Kupon bagi saya sebagai Nasabah Allo Bank?,Kupon memberikan manfaat dalam bentuk potongan harga atau discount yang dapat Anda gunakan untuk bertransaksi di merchant.
LAYANAN,Bagaimana cara mendapatkan Kupon pada aplikasi Allo Bank?,"Untuk menukarkan Kupon, Anda dapat mengikuti langkah-langkah berikut:

1. Pastikan sebelumnya Anda sudah mengklaim Kupon
2. Kemudian, Anda dapat mengakses halaman Kupon dengan menekan tombol """"Kupon"""" di beranda aplikasi Allo Bank
3. Buka tab """"Kupon Saya"""" untuk menemukan kupon yang Anda miliki.
4 Anda dapat langsung menggunakan kupon untuk bertransaksi sebelum tanggal habis masa berlakunya

Jika Anda belum mengklaim Kupon, Anda dapat mengikuti langkah-langkah berikut:

1. Tekan tombol """"Kupon"""" di beranda aplikasi Allo Bank
2. Kemudian tekan tombol """"Grab It"""" untuk mengklaim Kupon yang Anda inginkan
3. Kupon yang diklaim secara otomatis akan ada di tab """"Kupon Saya"""".
4. Anda dapat langsung menggunakan kupon untuk bertransaksi sebelum tanggal kadaluwarsanya"
LAYANAN,Berapa lama waktu validitas Kupon saya?,Masing-masing Kupon yang Anda terima memiliki waktu batas penggunaan (expiry date) yang terdapat pada syarat & ketentuan masing - masing kupon
LAYANAN,Apakah saya bisa mendapatkan Kupon saya kembali jika saya melakukan refund?,Anda bisa mendapatkan kupon Anda kembali jika pengembalian dana berhasil
LAYANAN,Apa itu Allo Pay?,Allo Pay adalah produk uang elektronik jenis unregistered yang diterbitkan oleh Bank dengan media penempatan server based dan dapat diakses melalui aplikasi Allo Bank atau Aplikasi Business Unit yang berada dibawah di naungan CT Corp.
LAYANAN,Apa itu Allo Pay?,Allo Pay adalah produk uang elektronik jenis unregistered yang diterbitkan oleh Bank dengan media penempatan server based dan dapat diakses melalui aplikasi Allo Bank atau Aplikasi Business Unit yang berada dibawah di naungan CT Corp.
LAYANAN,Apa saja syarat dan dokumen yang harus dimiliki untuk membuat akun Allo Pay?,Anda hanya membutuhkan nomor ponsel dan alamat email aktif untuk melakukan registrasi Allo Pay
LAYANAN,Apa saja fitur dan benefit yang saya dapatkan ketika menggunakan Allo Pay?,"Allo Pay adalah produk uang elektronik jenis unregistered yang diterbitkan oleh Bank dengan media penempatan server based dengan fasilitas:
1. Maksimal Saldo: Rp2.000.000, -
2. Maksimal limit transaksi per bulan: Rp20.000.000, - per bulan

Anda juga bisa menikmati berbagai layanan:
1. Top Up Saldo
2. Bayar Tagihan
3. QRIS"
LAYANAN,Bagaimana cara untuk registrasi Allo Pay?,"Untuk melakukan registrasi Allo Pay, Anda dapat mengikuti langkah berikut:

1. Download aplikasi Allo Bank melalui Google Play Store atau App Store.
2. Lakukan proses registrasi di aplikasi Allo Bank dengan mengisi data pribadi Anda, seperti: nama lengkap sesuai KTP, nomor ponsel, dan alamat email.
3. Kemudian, kode OTP (One-Time Password) akan dikirim ke nomor ponsel dan alamat email Anda.
4. Lakukan verifikasi untuk proses registrasi dengan memasukkan kode OTP (One-Time Password) yang Anda terima.
5. Buat dan konfirmasi PIN yang akan digunakan untuk transaksi di Allo Bank.

Jika proses registrasi berhasil, Anda langsung bisa menggunakan Allo Pay dengan cepat, mudah, dan aman untuk berbagai macam transaksi seperti: top up saldo, pembayaran tagihan, dan pembayaran menggunakan QRIS (Quick Response Indonesian Standard) di seluruh merchant yang mendukung pembayaran QRIS."
LAYANAN,Ketika akun Allo Bank saya menjadi Allo Pay+ apa yang akan terjadi dengan akun Allo Pay saya?,"Ketika Nasabah telah melakukan proses upgrade akun ke Allo Pay+, maka akun Allo Pay Anda akan secara otomatis diperbarui menjadi Allo Pay+ dan saldo terakhir Allo Pay akan dipindahkan juga secara otomatis ke akun Allo Pay+ milik Nasabah."
LAYANAN,Apa itu Allo Pay+?,Allo Pay+ adalah Allo Pay yang telah di-upgrade menjadi uang elektronik jenis registered melalui proses Know Your Customer (KYC) dan dapat diakses melalui aplikasi Allo Bank atau aplikasi Business Unit yang berada dibawah di naungan CT Corp.
LAYANAN,Apa saja fitur dan benefit yang saya dapatkan ketika menggunakan Allo Pay+?,"Allo Pay+ adalah Allo Pay yang telah di-upgrade menjadi uang elektronik jenis registered melalui proses Know Your Customer (KYC) dengan fasilitas: 
1. Maksimal Saldo: Rp10.000.000, -
2. Maksimal limit transaksi per bulan: Rp20.000.000, - per bulan
Anda juga bisa menikmati berbagai layanan:
1. Top Up Saldo
2. Bayar Tagihan
3. QRIS
4. Transfer
5. Tarik Tunai"
LAYANAN,Mengapa status akun Allo Bank saya masih Allo Pay+?,"Akun Allo Bank Anda masih berupa Allo Pay+ karena Anda belum selesai melakukan proses registrasi dan verifikasi data diri. Untuk itu, Anda bisa melanjutkan proses upgrade akun ke Allo Prime hingga selesai."
LAYANAN,Apa itu Allo Prime?,"Allo Prime merupakan produk tabungan digital yang dikeluarkan oleh Allo Bank dan dapat diakses melalui aplikasi Allo Bank atau aplikasi Business Unit yang berada dibawah di naungan CT Corp. Allo Prime dapat digunakan dengan cepat, mudah dan aman tanpa menggunakan kartu."
LAYANAN,Apakah Allo Prime dijamin oleh LPS?,"Seluruh dana yang Anda tempatkan di Bank akan dijamin LPS, kecuali: 
a. Nominal total saldo simpanan Nasabah pada satu bank melebihi Rp2 miliar; dan
b. Suku bunga yang diperoleh Nasabah melebihi tingkat bunga yang dijamin oleh LPS, yaitu maksimum sebesar 4,25% (periode: 01 Oktober 2023 s.d. 31 Januari 2024)."
LAYANAN,Apa saja syarat dan dokumen yang harus dimiliki untuk membuat akun Allo Prime?,Syarat untuk membuat akun Allo Prime adalah Anda harus merupakan Warga Negara Indonesia yang sudah memiliki dokumen e-KTP.
LAYANAN,Apakah saya bisa membuatkan rekening Allo Bank untuk orang lain?,"Tidak, pembuatan rekening Allo Bank harus dilakukan oleh diri sendiri. Perlu diingat bahwa untuk 1 NIK hanya berlaku untuk 1 rekening Allo Bank."
LAYANAN,"E-KTP saya belum jadi, apakah masih bisa punya rekening Allo Bank ?",Jika Anda belum memiliki E-KTP Anda hanya bisa mendaftar sebagai pengguna Allo Pay. Anda harus memiliki E-KTP untuk bisa menjadi pengguna Allo Prime.
LAYANAN,Bagaimana jika KTP saya sudah menggunakan KTP Digital?,Saat ini Allo Bank belum mendukung registrasi akun menggunakan KTP Digital. Nantikan update kami berikutnya ya!
LAYANAN,Bagaimana jika KTP saya sudah menggunakan KTP Digital?,Saat ini Allo Bank belum mendukung registrasi akun menggunakan KTP Digital. Nantikan update kami berikutnya ya!
LAYANAN,"Saya belum punya NPWP, apakah bisa punya rekening Allo Bank?",Anda tetap bisa memiliki akun karena NPWP bersifat opsional.
LAYANAN,Kenapa saya perlu mengisi data pekerjaan di proses pembukaan rekening Allo Bank?,Data pekerjaan pada proses pembukaan rekening Allo Bank berguna untuk memastikan latar belakang calon nasabah.
LAYANAN,Kenapa saya perlu memasukkan alamat domisili di proses pembukaan rekening Allo Bank?,Data alamat domisili pada proses pembukaan rekening Allo Bank berguna untuk memastikan latar belakang calon nasabah.
LAYANAN,Apa saja fitur dan benefit yang saya dapatkan ketika menggunakan Allo Prime?,"Allo Prime merupakan produk tabungan dari Allo Bank dengan fasilitas:

1. Tidak ada batas kuota untuk transaksi keluar
2. Tidak ada batas kuota untuk transaksi masuk
3. Pembukaan Rekening Deposito
4. Suku Bunga Kompetitif

Anda juga bisa menikmati berbagai layanan:

1. Top Up Saldo
2. Bayar Tagihan
3. QRIS
4. Transfer
5. Tarik Tunai
6. Allo Grow
7. Deposito
8. E-Wallet
9. Instant Cash
10. Referral

Untuk keterangan lebih lanjut Anda bisa mengunjungi halaman berikut: https://www.allobank.com/rate-limit-fees"
LAYANAN,Bagaimana cara untuk untuk upgrade akun Allo Bank saya ke Allo Prime?,"Untuk melakukan upgrade ke Allo Prime, Anda dapat mengikuti langkah berikut:

1. Pastikan Anda sudah melakukan proses registrasi Allo Pay
2. Buka aplikasi Allo Bank Anda
3. Tekan tombol “Perbarui Sekarang” pada Beranda aplikasi Allo Bank
4. Input PIN yang telah Anda buat saat registrasi Allo Pay
5. Proses verifikasi terdiri atas dua proses yaitu scan KTP (Kartu Tanda Penduduk) & selfie wajah
6. Baca dan ikuti petunjuk cara scan KTP yang benar
7. Lakukan scan KTP sesuai dengan instruksi
8. Pastikan data diri Anda sudah sesuai dengan e-KTP mu sebelum tekan tombol ""Konfirmasi""
9. Perhatikan petunjuk verifikasi wajah sesuai dengan instruksi
10. Kemudian, lakukan pengisian & melengkapi beberapa informasi pribadi pada form online yang disediakan
11. Setelah itu, pastikan Anda membaca, mengerti, dan menyetujui syarat dan ketentuan, serta kebijakan privasi yang berlaku

Jika proses upgrade berhasil, Anda langsung bisa menggunakan Allo Prime dengan cepat, mudah, dan aman untuk seluruh produk di aplikasi Allo Bank."
LAYANAN,Bagaimana caranya untuk upgrade akun Allo Prime apabila sebelumnya saya mendaftarkan akun melalui aplikasi unit bisnis CT Corp?,"Jika sebelumnya Anda sudah pernah mendaftarkan nomor ponsel Anda pada aplikasi unit bisnis CT Corp, Anda dapat langsung login ke dalam aplikasi Allo Bank dan diminta untuk memasukkan PIN untuk membuat akun Allo Pay. Setelah itu, Anda dapat upgrade akun Anda menjadi Allo Prime dengan mengikuti langkah berikut:

1. Tekan tombol “Perbarui Sekarang” pada Beranda aplikasi Allo Bank
2. Input PIN yang telah Anda buat saat registrasi Allo Pay
3. Proses verifikasi terdiri atas dua proses yaitu scan KTP (Kartu Tanda Penduduk) & selfie wajah
4. Baca dan ikuti petunjuk cara scan KTP yang benar
5. Lakukan scan KTP sesuai dengan instruksi
6. Pastikan data diri Anda sudah sesuai dengan e-KTP mu sebelum tekan tombol ""Konfirmasi""
7. Kemudian, lakukan verifikasi wajah sesuai dengan instruksi
8. Lakukan pengisian & melengkapi beberapa informasi pribadi pada form online yang disediakan
9. Setelah itu, pastikan Anda membaca, mengerti, dan menyetujui syarat dan ketentuan, serta kebijakan privasi yang berlaku

Jika proses upgrade berhasil, Anda langsung bisa menggunakan Allo Prime dengan cepat, mudah, dan aman untuk seluruh produk di aplikasi Allo Bank."
LAYANAN,"Bagaimana jika saya sudah memiliki akun MPC di unit bisnis CT Corp lain, tetapi saya juga sudah memiliki akun Allo Prime dengan nomor yang berbeda dengan akun tersebut?","Jika Anda sudah memiliki akun di bisnis unit CT Corp dan akun Allo Prime dengan dua nomor yang berbeda, Anda memiliki dua akun MPC yang berbeda. Akun MPC ini tidak dapat dihubungkan dan points tidak dapat ditransfer."
LAYANAN,Apakah saya dapat mentransfer MPC Points?,MPC Points tidak dapat ditransfer dan juga dipindahtangankan.
LAYANAN,Apakah ada biaya tambahan dan biaya penempatan tabungan di Allo Prime?,"Tenang saja, Allo Prime bebas biaya admin, bebas minimum saldo penempatan, dan bebas saldo mengendap."
LAYANAN,Berapa suku bunga yang akan saya dapat dengan menabung di Allo Prime?,Anda dapat melihat detail terkait suku bunga yang diberikan Allo Bank pada halaman https://www.allobank.com/rate-limit-fees
LAYANAN,Bagaimana perhitungan bunga di Allo Prime?,Anda dapat melihat detail terkait suku bunga yang diberikan Allo Bank pada halaman https://www.allobank.com/rate-limit-fees
LAYANAN,Apa yang harus saya lakukan jika wajah saya tidak dapat terdeteksi selama proses upgrade akun ke Allo Prime?,"Anda dapat mencoba lagi dan pastikan bahwa Anda memegang smartphone sejajar dengan mata Anda dan wajah Anda berada dalam lingkaran. Hal-hal yang dapat menyebabkan kegagalan verifikasi wajah adalah kamera yang buram, cahaya yang kurang, dan penggunaan aksesoris. Jika masih belum berhasil, Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Email: allocare@allobank.com"
LAYANAN,Apa yang harus saya lakukan jika verifikasi wajah gagal karena jaringan bermasalah?,Pastikan Anda terhubung dengan jaringan internet yang stabil dan coba lagi.
